,id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
5495,2023-563253,2023-06-29,1,Vente,85000.0,119.0,B,RUE MONGE,6432,75005.0,75105,Paris 5e Arrondissement,75,,,75105000AU0052,,,19,8.72,,,,,,,,,1,2.0,Appartement,12.0,1.0,,,,,,2.351132,48.838941
5496,2023-563259,2023-06-16,1,Vente,505000.0,99.0,,RUE BLOMET,1019,75015.0,75115,Paris 15e Arrondissement,75,,,75115000BT0112,,,23,,,,,,,,,,1,2.0,Appartement,24.0,2.0,,,,,,2.299324,48.840348
5497,2023-563268,2023-06-29,1,Vente,650000.0,195.0,,RUE DE VAUGIRARD,9624,75015.0,75115,Paris 15e Arrondissement,75,,,75115000CS0007,,,12,72.03,,,,,,,,,1,2.0,Appartement,70.0,3.0,,,,,,2.311319,48.842258
5498,2023-563270,2023-06-15,1,Vente,490530.0,32.0,,RUE POPINCOURT,7626,75011.0,75111,Paris 11e Arrondissement,75,,,75111000BK0013,,,22,48.29,,,,,,,,,1,2.0,Appartement,39.0,2.0,,,,,,2.376708,48.858841
5499,2023-563273,2023-06-09,1,Vente,380000.0,43.0,,RUE FAIDHERBE,3485,75011.0,75111,Paris 11e Arrondissement,75,,,75111000CH0029,,,39,36.85,,,,,,,,,1,2.0,Appartement,36.0,2.0,,,,,,2.382168,48.853679
5500,2023-563277,2023-06-14,1,Vente,252150.0,131.0,,RUE DE LA ROQUETTE,8358,75011.0,75111,Paris 11e Arrondissement,75,,,75111000BO0059,,,16,24.92,,,,,,,,,1,2.0,Appartement,30.0,1.0,,,,,,2.383103,48.858635
5501,2023-563278,2023-06-23,1,Vente,340000.0,3.0,,RUE BLAINVILLE,1001,75005.0,75105,Paris 5e Arrondissement,75,,,75105000AZ0039,,,23,26.93,,,,,,,,,1,2.0,Appartement,27.0,1.0,,,,,,2.349053,48.844417
5502,2023-563279,2023-06-30,1,Vente,625000.0,40.0,,RUE DES ECOLES,3098,75005.0,75105,Paris 5e Arrondissement,75,,,75105000BO0059,,,20,,,,,,,,,,1,2.0,Appartement,54.0,3.0,,,,,,2.346431,48.84944
5503,2023-563281,2023-06-26,1,Vente,590000.0,20.0,,BD EMILE AUGIER,3207,75016.0,75116,Paris 16e Arrondissement,75,,,75116000DM0016,,,3,50.56,,,,,,,,,1,2.0,Appartement,50.0,3.0,,,,,,2.274116,48.86019
5504,2023-563282,2023-06-30,1,Vente,115000.0,85.0,,RUE ST DOMINIQUE,8529,75007.0,75107,Paris 7e Arrondissement,75,,,75107000BZ0059,,,24,9.96,,,,,,,,,1,2.0,Appartement,12.0,1.0,,,,,,2.308107,48.859162
