IRIS;DEC_PIMP20;DEC_TP6020;DEC_Q120;DEC_MED20;DEC_Q320;DEC_EQ20;DEC_D120;DEC_D220;DEC_D320;DEC_D420;DEC_D620;DEC_D720;DEC_D820;DEC_D920;DEC_RD20;DEC_S80S2020;DEC_GI20;DEC_PACT20;DEC_PTSA20;DEC_PCHO20;DEC_PBEN20;DEC_PPEN20;DEC_PAUT20;DEC_NOTE20
790030102;64,0;10,8;19260;26680;35430;0,61;12600;16910;20640;23760;29480;32970;37920;47040;3,7;4,8;0,290;68,1;63,2;1,8;3,1;27,5;4,4;1
790490101;38,9;35,5;9130;17430;25620;0,95;3540;7050;11560;14970;20510;23470;28200;34830;9,8;15,8;0,443;63,5;56,1;3,8;3,6;26,0;10,5;0
790490102;40,0;21,8;14270;20020;28330;0,70;6640;12420;15280;17580;22680;25970;30770;40710;6,1;7,5;0,358;56,9;49,2;1,9;5,8;36,8;6,3;0
790490103;44,7;14,8;16290;20970;26380;0,48;11370;15080;17300;19430;23020;25100;28450;33750;3,0;3,6;0,240;63,6;59,2;2,4;2,0;32,2;4,2;0
790490104;s;s;7250;13730;21160;1,01;1020;5850;8200;10790;16430;19800;23270;28990;28,6;18,0;0,440;60,6;52,3;4,6;3,7;33,3;6,1;0
790490105;42,8;22,5;13910;19920;26250;0,62;7490;12130;15560;17760;22080;24700;28280;34540;4,6;6,6;0,334;60,2;51,4;3,9;4,9;34,0;5,8;0
790490106;48,3;s;16390;20880;26430;0,48;12690;15350;17370;19160;22700;24950;28180;34220;2,7;3,6;0,252;71,1;64,8;2,0;4,3;23,0;5,9;0
790490107;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so
790490108;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so
790490109;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so
790490110;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so
790490111;50,3;s;17320;22210;28060;0,48;12660;16220;18380;20180;24330;26900;30060;37920;3,0;3,9;0,269;64,3;58,3;1,7;4,3;30,3;5,4;0
790490112;47,4;10,4;16810;22300;29060;0,55;13070;16040;17820;20220;24460;27300;30940;38550;2,9;4,2;0,287;66,4;58,8;1,9;5,7;27,0;6,6;0
790490113;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so
790790101;38,8;18,9;14960;19560;25610;0,54;9480;13450;15810;17850;21850;24220;27640;33030;3,5;4,7;0,294;64,6;57,7;2,8;4,1;29,7;5,7;1
790790102;35,6;16,8;14860;18850;23990;0,48;9890;13960;15710;17150;20410;22720;26000;30850;3,1;3,7;0,255;72,5;63,0;3,1;6,4;23,9;3,6;1
790790103;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so
790790104;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so
790790105;44,1;s;16840;21480;27750;0,51;11700;15520;17810;19330;23260;25530;29650;36580;3,1;3,7;0,259;70,1;60,2;2,5;7,4;25,6;4,3;1
790790106;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so
790790107;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so
790810101;67,5;s;20910;26920;36020;0,56;15610;19710;21980;24450;30020;33130;38320;44030;2,8;3,6;0,255;58,4;54,8;1,2;2,4;37,4;4,2;1
790810102;s;s;18580;25440;33030;0,57;13460;17240;20070;22730;27920;30960;35300;43360;3,2;4,0;0,267;72,8;68,3;2,0;2,5;24,6;2,6;1
791910101;41,9;36,4;8410;18430;31000;1,23;140;5980;10940;14800;22700;27250;35000;48440;344,2;45,4;0,516;78,4;67,8;4,0;6,6;15,6;6,0;0
791910102;45,2;34,1;8280;19280;30730;1,16;80;6220;11100;15510;23500;28040;35010;43390;570,9;31,1;0,445;71,3;62,9;3,5;4,9;24,8;3,9;0
791910103;52,4;23,5;13980;23250;34310;0,87;4510;11890;15940;19250;26820;32020;38640;47530;10,5;12,1;0,396;74,9;66,6;3,0;5,3;22,0;3,1;0
791910201;55,5;18,5;15940;24560;37250;0,87;7930;13850;17420;21010;28840;33580;41320;52710;6,6;8,7;0,377;72,0;63,2;2,6;6,2;23,5;4,5;0
791910202;49,1;30,5;10810;20030;30440;0,98;2930;8350;13040;16770;23730;27410;32900;40140;13,7;13,8;0,386;70,2;63,5;3,2;3,5;27,4;2,4;0
791910203;53,4;16,1;16240;23050;30980;0,64;8940;14400;17960;20540;25830;29170;33550;42510;4,8;6,2;0,322;61,9;56,5;1,9;3,5;34,7;3,4;0
791910301;55,7;17,0;16630;25550;37700;0,82;8420;14620;18220;22070;29550;34460;41620;53230;6,3;8,7;0,380;72,2;61,7;2,5;8,0;24,2;3,6;0
791910302;54,2;14,8;16490;23050;30710;0,62;10710;15240;17910;20650;25950;29140;33230;39790;3,7;4,5;0,277;64,7;60,4;2,2;2,1;33,4;1,9;0
791910303;57,4;15,5;16880;24590;34330;0,71;9400;15110;18390;21510;27840;31950;37650;47790;5,1;6,9;0,355;64,4;58,8;2,3;3,3;29,8;5,8;0
791910401;29,6;51,9;5200;12580;20930;1,25;0;3210;6460;9460;15610;19460;22840;27890;so;55,0;0,454;55,6;49,8;4,7;1,1;42,6;1,8;0
791910402;50,3;18,9;15640;21260;28690;0,61;8530;13850;16950;19060;23430;26490;31090;38700;4,5;5,9;0,310;58,3;54,1;2,6;1,6;39,2;2,5;0
791910403;s;s;3550;11240;20710;1,53;0;1240;5110;8260;14310;18790;24120;31660;so;247,9;0,505;70,0;62,6;5,2;2,2;28,4;1,6;0
791910404;s;79,8;580;5830;11750;1,91;0;0;1270;3170;8340;10260;13220;18080;so;so;0,545;69,0;59,1;7,8;2,1;30,5;0,5;0
791910501;64,2;8,1;19630;27080;38440;0,70;14100;18190;21100;23980;30560;35520;41170;51680;3,7;4,8;0,305;66,8;59,0;2,5;5,3;28,8;4,4;0
791910502;55,1;14,4;16660;22710;30010;0,59;10470;14980;17820;20330;25300;28260;32050;38940;3,7;4,5;0,275;66,0;61,3;2,5;2,2;31,6;2,4;0
791910503;63,2;10,0;19060;26450;36500;0,66;13160;17590;20770;23600;29160;33360;39270;50680;3,9;5,2;0,319;66,8;60,9;2,0;3,9;28,0;5,2;0
791910504;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so
791910505;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so
791910601;60,8;14,3;17930;25840;34420;0,64;10290;15750;19730;22780;29080;32500;36750;46520;4,5;5,9;0,321;69,7;63,4;1,9;4,4;27,1;3,2;0
791910602;53,8;24,3;13550;21890;30980;0,80;5840;10920;15670;19190;25100;29220;33310;40350;6,9;8,9;0,353;61,7;57,4;2,3;2,0;35,0;3,3;0
791910603;57,1;14,7;17060;24090;33370;0,68;10760;15670;18280;21060;27910;31260;36160;45530;4,2;5,7;0,320;63,0;57,3;2,2;3,5;32,1;4,9;0
791910604;54,6;20,0;15200;23030;31770;0,72;6960;13180;16910;20040;26070;29650;34570;44040;6,3;8,1;0,349;73,4;66,8;2,7;3,9;23,2;3,4;0
791910605;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so
791910701;58,5;13,2;17180;24880;33580;0,66;11050;15750;18580;21900;28190;31700;36670;44430;4,0;5,0;0,296;70,6;65,0;2,2;3,4;26,9;2,5;0
791910702;50,0;20,0;14950;21370;29100;0,66;7840;13130;16710;19410;24060;26910;30930;38030;4,9;6,2;0,307;59,5;54,5;2,5;2,5;38,1;2,4;0
791910703;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so
792020101;37,5;24,5;13410;19650;27180;0,70;6680;11360;15020;17360;22580;25440;28790;35600;5,3;7,0;0,330;60,4;53,4;2,8;4,2;34,6;5,0;0
792020102;33,5;32,9;10110;17400;25450;0,88;2940;8500;12120;14890;20190;23210;28510;36550;12,4;14,8;0,426;64,5;54,1;3,8;6,6;28,8;6,7;0
792020103;37,5;22,5;13870;19190;25220;0,59;8230;12320;14890;16880;21320;23230;26720;31110;3,8;4,6;0,268;50,5;46,9;2,6;1,0;46,7;2,8;0
792020104;30,4;32,8;10390;17780;24610;0,80;3040;8640;12130;15530;20280;22810;27060;32760;10,8;11,9;0,363;53,0;45,8;2,8;4,4;44,0;3,0;0
792020105;37,4;22,4;13830;19110;25220;0,60;6310;11890;14990;17130;21260;23890;27100;32360;5,1;6,2;0,300;54,1;48,4;3,0;2,7;42,3;3,6;0
792700101;38,4;30,6;11310;17890;25590;0,80;3540;9850;12710;15800;20370;23730;27720;33930;9,6;9,6;0,357;69,5;61,9;3,7;3,9;28,0;2,5;1
792700102;s;s;13450;19560;26260;0,65;6120;11470;15190;17490;21810;24330;28800;34830;5,7;7,5;0,328;58,5;52,5;2,7;3,3;38,7;2,8;1
792700103;30,9;35,4;10220;17030;22740;0,74;1670;8510;11610;14400;18860;21180;24590;30220;18,1;12,4;0,367;47,9;44,0;2,3;1,6;47,8;4,3;1
